address,city,constraints_date,eviction_id,file_date,state,supervisor_district,zip,eviction_reason,latitude,longitude
900 Block Of Sutter  Street,San Francisco,,M181474,2018-05-17T00:00:00.000,CA,3.0,94109.0,Nuisance,-122.416017227272,37.773939264637
0 Block Of Dore  Street,San Francisco,,M181453,2018-05-11T00:00:00.000,CA,6.0,94103.0,Nuisance,-122.416017227272,37.773939264637
300 Block Of Serrano  Drive,San Francisco,,M181568,2018-05-23T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
2900 Block Of Buchanan  Street,San Francisco,,M181566,2018-05-22T00:00:00.000,CA,2.0,94123.0,Nuisance,-122.416017227272,37.773939264637
200 Block Of Van Ness  Avenue,San Francisco,,M181631,2018-05-24T00:00:00.000,CA,6.0,94102.0,Development,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M181536,2018-05-21T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1900 Block Of Green  Street,San Francisco,,M181567,2018-05-23T00:00:00.000,CA,2.0,94123.0,Breach,-122.416017227272,37.773939264637
0 Block Of Melra  Court,San Francisco,2023-07-22T00:00:00.000,M181710,2018-05-29T00:00:00.000,CA,10.0,94134.0,Owner Move In,-122.416017227272,37.773939264637
1000 Block Of Hampshire  Street,San Francisco,,M181477,2018-05-18T00:00:00.000,CA,9.0,94110.0,Nuisance,-122.416017227272,37.773939264637
800 Block Of Union  Street,San Francisco,,M181521,2018-05-15T00:00:00.000,CA,3.0,94133.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
100 Block Of Teddy  Avenue,San Francisco,2023-06-06T00:00:00.000,M181402,2018-05-07T00:00:00.000,CA,10.0,94134.0,Owner Move In,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M181460,2018-05-14T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
2600 Block Of Baker  Street,San Francisco,,M181377,2018-05-08T00:00:00.000,CA,2.0,94123.0,Late Payments,-122.416017227272,37.773939264637
800 Block Of Oak  Street,San Francisco,,M181439,2018-05-11T00:00:00.000,CA,5.0,94117.0,Nuisance,-122.416017227272,37.773939264637
200 Block Of Bright  Street,San Francisco,,M181376,2018-05-08T00:00:00.000,CA,11.0,94132.0,Roommate Same Unit,-122.416017227272,37.773939264637
2400 Block Of 39th  Avenue,San Francisco,2023-06-30T00:00:00.000,M181393,2018-05-03T00:00:00.000,CA,4.0,94116.0,Owner Move In,-122.416017227272,37.773939264637
200 Block Of Van Ness  Avenue,San Francisco,,M181581,2018-05-24T00:00:00.000,CA,6.0,94102.0,Development,-122.416017227272,37.773939264637
900 Block Of Stanyan  Street,San Francisco,,M181458,2018-05-14T00:00:00.000,CA,5.0,94117.0,Late Payments,-122.416017227272,37.773939264637
1900 Block Of Hayes  Street,San Francisco,,M181390,2018-05-02T00:00:00.000,CA,5.0,94117.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
1800 Block Of Pacific  Avenue,San Francisco,,M181466,2018-05-15T00:00:00.000,CA,2.0,94109.0,Nuisance,-122.416017227272,37.773939264637
800 Block Of Gonzalez  Drive,San Francisco,,M181534,2018-05-21T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
300 Block Of 28th  Avenue,San Francisco,2023-07-01T00:00:00.000,M181399,2018-05-04T00:00:00.000,CA,1.0,94121.0,Owner Move In,-122.416017227272,37.773939264637
600 Block Of 9th  Avenue,San Francisco,,M181622,2018-05-23T00:00:00.000,CA,1.0,94118.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
0 Block Of Kingston  Street,San Francisco,,M181282,2018-04-30T00:00:00.000,CA,9.0,94110.0,Roommate Same Unit,-122.416017227272,37.773939264637
2300 Block Of Bryant  Street,San Francisco,2023-08-19T00:00:00.000,M181519,2018-05-25T00:00:00.000,CA,9.0,94110.0,Owner Move In,-122.416017227272,37.773939264637
200 Block Of Gonzalez  Drive,San Francisco,,M181455,2018-05-14T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
1100 Block Of Naples  Street,San Francisco,,M181348,2018-05-02T00:00:00.000,CA,11.0,94112.0,Roommate Same Unit,-122.416017227272,37.773939264637
2600 Block Of Baker  Street,San Francisco,,M181378,2018-05-08T00:00:00.000,CA,2.0,94123.0,Non-payment,-122.416017227272,37.773939264637
500 Block Of Ortega  Street,San Francisco,,M180731,2018-03-09T00:00:00.000,CA,7.0,94122.0,Owner Move In,-122.416017227272,37.773939264637
500 Block Of Haight  Street,San Francisco,,M181452,2018-05-11T00:00:00.000,CA,5.0,94117.0,Non-payment,-122.416017227272,37.773939264637
